source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD058056_241017_DH_F_DTSSP_12_reduced	Homo sapiens	not available	not available	1	PXD058056_241017_DH_F_DTSSP_12_reduced_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3(d0)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d0);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'BS3(d4)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d4);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'DTSSP', 'AC': None, 'CL': None, 'TA': None, 'structured': 'NT=DTSSP;AC=null;CL=null;TA=null'}]	not available	1 mM	not available	1 h	room temperature	241017_DH_F_DTSSP_12_reduced.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD058056_20240529_DH_14_Gel2_h	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	2	PXD058056_20240529_DH_14_Gel2_h_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3(d0)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d0);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'BS3(d4)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d4);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'DTSSP', 'AC': None, 'CL': None, 'TA': None, 'structured': 'NT=DTSSP;AC=null;CL=null;TA=null'}]	not available	1 mM	not available	1 h	room temperature	20240529_DH_14_Gel2_h.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD058056_241017_DH_C_DTSSP_5_reduced	Homo sapiens	not available	not available	3	PXD058056_241017_DH_C_DTSSP_5_reduced_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3(d0)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d0);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'BS3(d4)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d4);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'DTSSP', 'AC': None, 'CL': None, 'TA': None, 'structured': 'NT=DTSSP;AC=null;CL=null;TA=null'}]	not available	1 mM	not available	1 h	room temperature	241017_DH_C_DTSSP_5_reduced.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD058056_20240529_DH_4_Gel1_f	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	4	PXD058056_20240529_DH_4_Gel1_f_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3(d0)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d0);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'BS3(d4)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d4);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'DTSSP', 'AC': None, 'CL': None, 'TA': None, 'structured': 'NT=DTSSP;AC=null;CL=null;TA=null'}]	not available	1 mM	not available	1 h	room temperature	20240529_DH_4_Gel1_f.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD058056_241017_DH_C_DTSSP_5_Unreduced	Homo sapiens	not available	not available	5	PXD058056_241017_DH_C_DTSSP_5_Unreduced_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3(d0)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d0);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'BS3(d4)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d4);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'DTSSP', 'AC': None, 'CL': None, 'TA': None, 'structured': 'NT=DTSSP;AC=null;CL=null;TA=null'}]	not available	1 mM	not available	1 h	room temperature	241017_DH_C_DTSSP_5_Unreduced.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD058056_241017_DH_F_DTSSP_12_Unreduced	Homo sapiens	not available	not available	6	PXD058056_241017_DH_F_DTSSP_12_Unreduced_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3(d0)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d0);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'BS3(d4)', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'structured': 'NT=BS3(d4);AC=XLMOD:02000;CL=no;TA=K,nterm'}, {'NT': 'DTSSP', 'AC': None, 'CL': None, 'TA': None, 'structured': 'NT=DTSSP;AC=null;CL=null;TA=null'}]	not available	1 mM	not available	1 h	room temperature	241017_DH_F_DTSSP_12_Unreduced.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
