source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD035433_F21-90min-ex2-1	Homo sapiens	mitochondria	not available	50	PXD035433_F21-90min-ex2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F21-90min-ex2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F4-90min-3	Homo sapiens	mitochondria	not available	51	PXD035433_F4-90min-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F4-90min-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F20-90min	Homo sapiens	mitochondria	not available	52	PXD035433_F20-90min_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F20-90min.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_blank-label-free-quant-1	NT=Homo sapiens (human);AC=NCBITaxon:9606	mitochondria	not available	53	PXD035433_blank-label-free-quant-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	blank-label-free-quant-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F18-90min-ex2-3	Homo sapiens	mitochondria	not available	54	PXD035433_F18-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F18-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F4-90min	Homo sapiens	mitochondria	not available	55	PXD035433_F4-90min_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F4-90min.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_blank-label-free-quant-2	NT=Homo sapiens (human);AC=NCBITaxon:9606	mitochondria	not available	56	PXD035433_blank-label-free-quant-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	blank-label-free-quant-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F1-90min-3	Homo sapiens	mitochondria	not available	57	PXD035433_F1-90min-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F1-90min-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F16-90min-ex2-2	Homo sapiens	mitochondria	not available	58	PXD035433_F16-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F16-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F26-90min-ex2-2	Homo sapiens	mitochondria	not available	59	PXD035433_F26-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F26-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F9-90min-ex2-3	Homo sapiens	mitochondria	not available	60	PXD035433_F9-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F9-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_70DSS_PLGAKolliphor_EL_NPs-6h-label-free-quant-1	Homo sapiens	mitochondria	not available	61	PXD035433_70DSS_PLGAKolliphor_EL_NPs-6h-label-free-quant-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	70DSS_PLGAKolliphor_EL_NPs-6h-label-free-quant-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_70DSS_PLGAKolliphor_EL_NPs-6h-label-free-quant-2	Homo sapiens	mitochondria	not available	62	PXD035433_70DSS_PLGAKolliphor_EL_NPs-6h-label-free-quant-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	70DSS_PLGAKolliphor_EL_NPs-6h-label-free-quant-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_20200906-juri-0225mMDSS-exclude-2-2	Homo sapiens	mitochondria	not available	63	PXD035433_20200906-juri-0225mMDSS-exclude-2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20200906-juri-0225mMDSS-exclude-2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F16-90min-ex2-3	Homo sapiens	mitochondria	not available	64	PXD035433_F16-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F16-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F8-90min-ex2-1	Homo sapiens	mitochondria	not available	65	PXD035433_F8-90min-ex2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F8-90min-ex2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F13-90min-ex2-1	Homo sapiens	mitochondria	not available	66	PXD035433_F13-90min-ex2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F13-90min-ex2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F29-90min-ex2-fdr1	Homo sapiens	mitochondria	not available	67	PXD035433_F29-90min-ex2-fdr1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F29-90min-ex2-fdr1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F21-90min-ex2-3	Homo sapiens	mitochondria	not available	68	PXD035433_F21-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F21-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_20200906-in-vivo-cellexclude-2	Homo sapiens	mitochondria	not available	69	PXD035433_20200906-in-vivo-cellexclude-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20200906-in-vivo-cellexclude-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F19-90min-ex2-1	Homo sapiens	mitochondria	not available	70	PXD035433_F19-90min-ex2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F19-90min-ex2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_20200906-in-vivo-cellexclude-2_200907005638	Homo sapiens	mitochondria	not available	71	PXD035433_20200906-in-vivo-cellexclude-2_200907005638_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20200906-in-vivo-cellexclude-2_200907005638.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F1-90min-2	Homo sapiens	mitochondria	not available	72	PXD035433_F1-90min-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F1-90min-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F7-90min-ex2-3	Homo sapiens	mitochondria	not available	73	PXD035433_F7-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F7-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F18-90min-ex2-1	Homo sapiens	mitochondria	not available	74	PXD035433_F18-90min-ex2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F18-90min-ex2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F26-90min-ex2-3	Homo sapiens	mitochondria	not available	75	PXD035433_F26-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F26-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F10-90min-ex2-3	Homo sapiens	mitochondria	not available	76	PXD035433_F10-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F10-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F17-90min-ex2-1	Homo sapiens	mitochondria	not available	77	PXD035433_F17-90min-ex2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F17-90min-ex2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F17-90min-ex2-3	Homo sapiens	mitochondria	not available	78	PXD035433_F17-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F17-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F14-90min-ex2-2	Homo sapiens	mitochondria	not available	79	PXD035433_F14-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F14-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F23-90min-ex2-2	Homo sapiens	mitochondria	not available	80	PXD035433_F23-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F23-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F21-90min-ex2-2	Homo sapiens	mitochondria	not available	81	PXD035433_F21-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F21-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F15-90min-ex2-2	Homo sapiens	mitochondria	not available	82	PXD035433_F15-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F15-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F28-90min-ex2-fdr1_210203065344	Homo sapiens	mitochondria	not available	83	PXD035433_F28-90min-ex2-fdr1_210203065344_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F28-90min-ex2-fdr1_210203065344.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_f9-90min-ex2-1	Homo sapiens	mitochondria	not available	84	PXD035433_f9-90min-ex2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	f9-90min-ex2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_f5-90min	Homo sapiens	mitochondria	not available	85	PXD035433_f5-90min_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	f5-90min.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_f3-90min-3	Homo sapiens	mitochondria	not available	86	PXD035433_f3-90min-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	f3-90min-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F29-90min-ex2-2	Homo sapiens	mitochondria	not available	87	PXD035433_F29-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F29-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F15-90min-ex2-3	Homo sapiens	mitochondria	not available	88	PXD035433_F15-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F15-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F5	Homo sapiens	mitochondria	not available	89	PXD035433_F5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F17-90min-ex2-2	Homo sapiens	mitochondria	not available	90	PXD035433_F17-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F17-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F13-90min-ex2-3	Homo sapiens	mitochondria	not available	91	PXD035433_F13-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F13-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_blank-label-free-quant-3	NT=Homo sapiens (human);AC=NCBITaxon:9606	mitochondria	not available	92	PXD035433_blank-label-free-quant-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	blank-label-free-quant-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F12-90min-ex2-2	Homo sapiens	mitochondria	not available	93	PXD035433_F12-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F12-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F19-90min-ex2-3	Homo sapiens	mitochondria	not available	94	PXD035433_F19-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F19-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F9-90min-ex2-2	Homo sapiens	mitochondria	not available	95	PXD035433_F9-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F9-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F11-90min-ex2-2	Homo sapiens	mitochondria	not available	96	PXD035433_F11-90min-ex2-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F11-90min-ex2-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_f3-90min-2	Homo sapiens	mitochondria	not available	97	PXD035433_f3-90min-2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	f3-90min-2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F30-90min-ex2-1	Homo sapiens	mitochondria	not available	98	PXD035433_F30-90min-ex2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F30-90min-ex2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F15-90min-ex2-1	Homo sapiens	mitochondria	not available	99	PXD035433_F15-90min-ex2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F15-90min-ex2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F16-90min-ex2-1	Homo sapiens	mitochondria	not available	100	PXD035433_F16-90min-ex2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F16-90min-ex2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F6-90min-ex2-3	Homo sapiens	mitochondria	not available	101	PXD035433_F6-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F6-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_20200906-whole-cup-70dssplga-ddabnps-exclude-2-1	Homo sapiens	mitochondria	not available	102	PXD035433_20200906-whole-cup-70dssplga-ddabnps-exclude-2-1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20200906-whole-cup-70dssplga-ddabnps-exclude-2-1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F25-90min-ex2-3	Homo sapiens	mitochondria	not available	103	PXD035433_F25-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F25-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD035433_F14-90min-ex2-3	Homo sapiens	mitochondria	not available	104	PXD035433_F14-90min-ex2-3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	F14-90min-ex2-3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
