source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD027891_arekelle_C1910_075	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	11	PXD027891_arekelle_C1910_075_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_075.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_079	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	12	PXD027891_arekelle_C1910_079_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_079.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_094	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	13	PXD027891_arekelle_C1910_094_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_094.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_040	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	14	PXD027891_arekelle_C1910_040_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_040.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_067	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	15	PXD027891_arekelle_C1910_067_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_067.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_036	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	16	PXD027891_arekelle_C1910_036_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_036.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_049	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	17	PXD027891_arekelle_C1910_049_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_049.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_071	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	18	PXD027891_arekelle_C1910_071_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_071.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_048	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	19	PXD027891_arekelle_C1910_048_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_048.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_082	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	20	PXD027891_arekelle_C1910_082_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_082.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
