accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC,spectral_file_types
PXD045987,0.0,,23,Trypanosoma brucei,5691,Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD042395,37395449.0,PMC10415142,24,Homo sapiens (human),9606,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY-NC,False,False,RAW
PXD038398,,,11,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD036884,0.0,,108,Escherichia coli,562,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD029033,0.0,,86,Homo sapiens (human); Mus musculus (mouse),9606; 10090,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD038583,0.0,,24,Homo sapiens (human),9606,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD048298,0.0,,12,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics; Data-dependent acquisition,,False,False,MGF;RAW
PXD037894,36630201.0,,16,Homo sapiens (human),9606,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,,False,False,DTA;MGF;RAW
PXD051075,,,226,Escherichia coli; Homo sapiens (human),562; 9606,Bottom-up proteomics,,False,False,RAW
PXD040000,38413589.0,PMC10899662,24,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD045791,38548729.0,PMC10978841,22,Homo sapiens (human); Mus musculus (mouse),9606; 10090,Shotgun proteomics,CC BY,False,False,RAW
PXD052022,39482464.0,PMC11621016,132,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics; Data-dependent acquisition,CC BY,False,False,RAW
PXD042173,39482464.0,PMC11621016,178,Escherichia coli; Homo sapiens (human),562; 9606,Chemical cross-linking coupled with mass spectrometry proteomics; Data-dependent acquisition,CC BY,False,False,MS2;RAW
PXD025923,,,72,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD043531,0.0,,22,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD052480,0.0,,139,Homo sapiens (human),9606,Bottom-up proteomics,,False,False,RAW
PXD058191,,,112,Homo sapiens (human),9606,Data-independent acquisition; Data-dependent acquisition,,False,False,RAW
PXD051322,0.0,,91,Homo sapiens (human),9606,Bottom-up proteomics,,False,False,RAW
PXD055649,0.0,,24,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD059118,,,336,Escherichia coli; Homo sapiens (human),562; 9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD060825,,,18,Homo sapiens (human); Human cytomegalovirus (hhv-5) (human herpesvirus 5),9606; 10359,Chemical cross-linking coupled with mass spectrometry proteomics; Bottom-up proteomics; Affinity purification coupled with mass spectrometry proteomics; Data-dependent acquisition,,False,False,RAW
PXD045689,39349928.0,PMC11442847,60,Homo sapiens (human),9606,Shotgun proteomics; Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD049797,39961749.0,PMC11926780,96,Homo sapiens (human); Legionella pneumophila subsp. pneumophila lp02,9606; 1080311,Bottom-up proteomics,CC BY,False,False,RAW
PXD051014,40291949.0,PMC12033502,83,Homo sapiens (human),9606,Gel-based experiment,CC BY-NC,False,False,RAW
PXD051742,39785238.0,PMC11755394,22,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics; Bottom-up proteomics,CC BY,False,False,MGF;MZML;RAW
PXD054551,,,46,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics; Bottom-up proteomics; Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW;TXT
PXD047422,,,205,Human alphaherpesvirus 1; Homo sapiens (human),10298; 9606,Chemical cross-linking coupled with mass spectrometry proteomics; Bottom-up proteomics; Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD064792,,,16,Mus musculus (mouse),10090,Affinity purification coupled with mass spectrometry proteomics,,False,False,MZXML;RAW
PXD062479,,,37,Toxoplasma gondii type i,1209525,Bottom-up proteomics,,False,False,RAW
PXD063191,40700505.0,PMC12285722,21,Homo sapiens (human),9606,Bottom-up proteomics,CC BY,False,False,MGF;RAW
PXD061173,40804100.0,PMC12350791,88,Homo sapiens (human),9606,Bottom-up proteomics; Data-dependent acquisition,CC BY,False,False,RAW
PXD063145,40925366.0,PMC12539243,49,Rattus norvegicus (rat); Homo sapiens (human),10116; 9606,Data-independent acquisition; Bottom-up proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD069512,0.0,,116,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD065905,0.0,,88,Homo sapiens (human); Bacillus subtilis,9606; 1423,Chemical cross-linking coupled with mass spectrometry proteomics; Bottom-up proteomics; Data-dependent acquisition,,False,False,RAW
PXD065870,0.0,,11,Homo sapiens (human),9606,Bottom-up proteomics,,False,False,MGF;RAW
PXD065871,0.0,,18,Homo sapiens (human),9606,Bottom-up proteomics,,False,False,MGF;RAW
PXD065961,0.0,,13,Escherichia coli; Homo sapiens (human),562; 9606,Bottom-up proteomics,,False,False,MGF;RAW
