source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD056954_20240330_HF_LC1_MF_GGO_Biotin-CCW16_Rep1	Homo sapiens	whole cell lysate	not available	1	PXD056954_20240330_HF_LC1_MF_GGO_Biotin-CCW16_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	Streptavidin pulldown	not available	not available	not available	not available	20240330_HF_LC1_MF_GGO_Biotin-CCW16_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD056954_20240330_HF_LC1_MF_GGO_Biotin_Rep2	Homo sapiens	whole cell lysate	not available	2	PXD056954_20240330_HF_LC1_MF_GGO_Biotin_Rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	Streptavidin pulldown	not available	not available	not available	not available	20240330_HF_LC1_MF_GGO_Biotin_Rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD056954_20240330_HF_LC1_MF_GGO_Biotin_Rep1	Homo sapiens	whole cell lysate	not available	3	PXD056954_20240330_HF_LC1_MF_GGO_Biotin_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	Streptavidin pulldown	not available	not available	not available	not available	20240330_HF_LC1_MF_GGO_Biotin_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD056954_20240330_HF_LC1_MF_GGO_Biotin-CCW16_Rep3	Homo sapiens	whole cell lysate	not available	4	PXD056954_20240330_HF_LC1_MF_GGO_Biotin-CCW16_Rep3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	Streptavidin pulldown	not available	not available	not available	not available	20240330_HF_LC1_MF_GGO_Biotin-CCW16_Rep3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD056954_20240330_HF_LC1_MF_GGO_Biotin-CCW16_Rep2	Homo sapiens	whole cell lysate	not available	5	PXD056954_20240330_HF_LC1_MF_GGO_Biotin-CCW16_Rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	Streptavidin pulldown	not available	not available	not available	not available	20240330_HF_LC1_MF_GGO_Biotin-CCW16_Rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD056954_20240330_HF_LC1_MF_GGO_Biotin_Rep3	Homo sapiens	whole cell lysate	not available	6	PXD056954_20240330_HF_LC1_MF_GGO_Biotin_Rep3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	Streptavidin pulldown	not available	not available	not available	not available	20240330_HF_LC1_MF_GGO_Biotin_Rep3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
