source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD042599_eEF1B_titration_assay_WT_5uM_rep1_AspN	Homo sapiens	not available	not available	not available	11	PXD042599_eEF1B_titration_assay_WT_5uM_rep1_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_5uM_rep1_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_S314A_Efm4_rep2	Homo sapiens	not available	not available	not available	12	PXD042599_eEF1A_S314A_Efm4_rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_S314A_Efm4_rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1AKMT2-201_from-eEF1A1-assay_5ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	13	PXD042599_eEF1AKMT2-201_from-eEF1A1-assay_5ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1AKMT2-201_from-eEF1A1-assay_5ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_02uM_rep2_AspN_231104151026	Homo sapiens	not available	not available	not available	14	PXD042599_eEF1B_titration_assay_F163A_02uM_rep2_AspN_231104151026_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_02uM_rep2_AspN_231104151026.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_10uM_rep2_AspN_231104062808	Homo sapiens	not available	not available	not available	15	PXD042599_eEF1B_titration_assay_WT_10uM_rep2_AspN_231104062808_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_10uM_rep2_AspN_231104062808.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_05uM_rep1_AspN_231104183918	Homo sapiens	not available	not available	not available	16	PXD042599_eEF1B_titration_assay_F163A_05uM_rep1_AspN_231104183918_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_05uM_rep1_AspN_231104183918.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_20uM_rep2_AspN	Homo sapiens	not available	not available	not available	17	PXD042599_eEF1B_titration_assay_F163A_20uM_rep2_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_20uM_rep2_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_05uM_rep3_AspN	Homo sapiens	not available	not available	not available	18	PXD042599_eEF1B_titration_assay_WT_05uM_rep3_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_05uM_rep3_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A1_eEF1AKMT2-207_metassay_AspN_2ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	19	PXD042599_eEF1A1_eEF1AKMT2-207_metassay_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A1_eEF1AKMT2-207_metassay_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_5uM_rep1_AspN	Homo sapiens	not available	not available	not available	20	PXD042599_eEF1B_titration_assay_F163A_5uM_rep1_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_5uM_rep1_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
