source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD042599_EFM4-F212A-His_HisMag_Efm4-band	Saccharomyces cerevisiae	not available	not available	not available	31	PXD042599_EFM4-F212A-His_HisMag_Efm4-band_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	EFM4-F212A-His_HisMag_Efm4-band.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_20uM_rep1_AspN	Homo sapiens	not available	not available	not available	32	PXD042599_eEF1B_titration_assay_F163A_20uM_rep1_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_20uM_rep1_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_1uM_rep3_AspN	Homo sapiens	not available	not available	not available	33	PXD042599_eEF1B_titration_assay_WT_1uM_rep3_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_1uM_rep3_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_S314D_-ve_metassay	Homo sapiens	not available	not available	not available	34	PXD042599_eEF1A_S314D_-ve_metassay_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_S314D_-ve_metassay.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_1uM_rep2_AspN	Homo sapiens	not available	not available	not available	35	PXD042599_eEF1B_titration_assay_WT_1uM_rep2_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_1uM_rep2_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_0uM_rep2_AspN_2ul	Homo sapiens	not available	not available	not available	36	PXD042599_eEF1B_titration_assay_0uM_rep2_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_0uM_rep2_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_05uM_rep1_AspN	Homo sapiens	not available	not available	not available	37	PXD042599_eEF1B_titration_assay_WT_05uM_rep1_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_05uM_rep1_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_2uM_rep1_AspN	Homo sapiens	not available	not available	not available	38	PXD042599_eEF1B_titration_assay_F163A_2uM_rep1_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_2uM_rep1_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A1_-ve_metassay_AspN_2ul	Homo sapiens	not available	not available	not available	39	PXD042599_eEF1A1_-ve_metassay_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A1_-ve_metassay_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_1uM_rep1_AspN_231104230027	Homo sapiens	not available	not available	not available	40	PXD042599_eEF1B_titration_assay_F163A_1uM_rep1_AspN_231104230027_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_1uM_rep1_AspN_231104230027.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_2uM_rep3_AspN	Homo sapiens	not available	not available	not available	41	PXD042599_eEF1B_titration_assay_WT_2uM_rep3_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_2uM_rep3_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A1_eEF1A-KMT2_WT_metassay_rep3_AspN_2ul	Homo sapiens	not available	not available	not available	42	PXD042599_eEF1A1_eEF1A-KMT2_WT_metassay_rep3_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A1_eEF1A-KMT2_WT_metassay_rep3_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_WT_Efm4_metassay_rep1_5ul	Homo sapiens	not available	not available	not available	43	PXD042599_eEF1A_WT_Efm4_metassay_rep1_5ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_WT_Efm4_metassay_rep1_5ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_WT_Efm4_metassay_rep2_5ul	Homo sapiens	not available	not available	not available	44	PXD042599_eEF1A_WT_Efm4_metassay_rep2_5ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_WT_Efm4_metassay_rep2_5ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_purf_TEF1-His_dTEF2_rep1_tryp_1-20th_2ul	Homo sapiens	not available	not available	not available	45	PXD042599_eEF1A_purf_TEF1-His_dTEF2_rep1_tryp_1-20th_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_purf_TEF1-His_dTEF2_rep1_tryp_1-20th_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_TEF1-6xHis_rep2_eEF1Aband_tryp_5ul	Saccharomyces cerevisiae	not available	not available	not available	46	PXD042599_TEF1-6xHis_rep2_eEF1Aband_tryp_5ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	TEF1-6xHis_rep2_eEF1Aband_tryp_5ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A2_eEF1A-KMT2_F220A_metassay_rep3_AspN_2ul	Homo sapiens	not available	not available	not available	47	PXD042599_eEF1A2_eEF1A-KMT2_F220A_metassay_rep3_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A2_eEF1A-KMT2_F220A_metassay_rep3_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_fromEfm4KO_Efm4_F210A-F212A_rep3_AspN_5ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	48	PXD042599_eEF1A_fromEfm4KO_Efm4_F210A-F212A_rep3_AspN_5ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_fromEfm4KO_Efm4_F210A-F212A_rep3_AspN_5ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_fromEfm4KO_Efm4_eEF1B_20uM_AspN_2ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	49	PXD042599_eEF1A_fromEfm4KO_Efm4_eEF1B_20uM_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_fromEfm4KO_Efm4_eEF1B_20uM_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_Efm4_WT_clone2_GluC_in-sol_PRM	Saccharomyces cerevisiae	not available	not available	not available	50	PXD042599_Efm4_WT_clone2_GluC_in-sol_PRM_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	Efm4_WT_clone2_GluC_in-sol_PRM.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_S314D_Efm4_metassay_rep1_5ul	Homo sapiens	not available	not available	not available	51	PXD042599_eEF1A_S314D_Efm4_metassay_rep1_5ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_S314D_Efm4_metassay_rep1_5ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_fromEfm4KO_Efm4_G213A_rep3_AspN_2ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	52	PXD042599_eEF1A_fromEfm4KO_Efm4_G213A_rep3_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_fromEfm4KO_Efm4_G213A_rep3_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_fromEfm4KO_Efm4_eEF1B_05uM_AspN_2ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	53	PXD042599_eEF1A_fromEfm4KO_Efm4_eEF1B_05uM_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_fromEfm4KO_Efm4_eEF1B_05uM_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_Efm4_F212A_clone2_GluC_in-sol_PRM	Saccharomyces cerevisiae	not available	not available	not available	54	PXD042599_Efm4_F212A_clone2_GluC_in-sol_PRM_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	Efm4_F212A_clone2_GluC_in-sol_PRM.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_fromEfm4KO_Efm4_WT_rep3_AspN_2ul	Saccharomyces cerevisiae (baker's yeast)	not available	not available	not available	55	PXD042599_eEF1A_fromEfm4KO_Efm4_WT_rep3_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_fromEfm4KO_Efm4_WT_rep3_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_fromEfm4KO_Efm4_delta1-28_metassay_rep1_1ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	56	PXD042599_eEF1A_fromEfm4KO_Efm4_delta1-28_metassay_rep1_1ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_fromEfm4KO_Efm4_delta1-28_metassay_rep1_1ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_fromEfm4KO_Efm4_eEF1B_5uM_AspN_2ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	57	PXD042599_eEF1A_fromEfm4KO_Efm4_eEF1B_5uM_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_fromEfm4KO_Efm4_eEF1B_5uM_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_Efm4_F210A_clone2_GluC_in-sol_PRM	Saccharomyces cerevisiae	not available	not available	not available	58	PXD042599_Efm4_F210A_clone2_GluC_in-sol_PRM_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	Efm4_F210A_clone2_GluC_in-sol_PRM.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_fromEfm4KO_Efm4_WT_metassay_rep3_1ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	59	PXD042599_eEF1A_fromEfm4KO_Efm4_WT_metassay_rep3_1ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_fromEfm4KO_Efm4_WT_metassay_rep3_1ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_Efm4_F212A_clone1_GluC_in-sol_PRM	Saccharomyces cerevisiae	not available	not available	not available	60	PXD042599_Efm4_F212A_clone1_GluC_in-sol_PRM_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	Efm4_F212A_clone1_GluC_in-sol_PRM.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A1_fromEfm4KO_-ve_metassay_tryp_1ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	61	PXD042599_eEF1A1_fromEfm4KO_-ve_metassay_tryp_1ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A1_fromEfm4KO_-ve_metassay_tryp_1ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_fromEfm4KO_Efm4_N184A_rep2_AspN_2ul	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	62	PXD042599_eEF1A_fromEfm4KO_Efm4_N184A_rep2_AspN_2ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_fromEfm4KO_Efm4_N184A_rep2_AspN_2ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1A_S314A_Efm4_metassay_rep2_5ul	Homo sapiens	not available	not available	not available	63	PXD042599_eEF1A_S314A_Efm4_metassay_rep2_5ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1A_S314A_Efm4_metassay_rep2_5ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
