source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD008914_120301_SBF_KS_A15_05_10	Mus musculus	whole cell lysate	embryonic stem cells	11	PXD008914_120301_SBF_KS_A15_05_10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	120301_SBF_KS_A15_05_10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_5_8_7	Mus musculus	whole cell lysate	embryonic stem cells	12	PXD008914_111229_KS_A8_5_8_7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_5_8_7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_7_8_5	Mus musculus	whole cell lysate	embryonic stem cells	13	PXD008914_111229_KS_A8_7_8_5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_7_8_5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_5_8_3	Mus musculus	whole cell lysate	embryonic stem cells	14	PXD008914_111229_KS_A8_5_8_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_5_8_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_7_5_1	Mus musculus	whole cell lysate	embryonic stem cells	15	PXD008914_111229_KS_A8_7_5_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_7_5_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_120301_SBF_KS_A15_03_10	Mus musculus	whole cell lysate	embryonic stem cells	16	PXD008914_120301_SBF_KS_A15_03_10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	120301_SBF_KS_A15_03_10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_120301_SBF_KS_A15_12_10	Mus musculus	whole cell lysate	embryonic stem cells	17	PXD008914_120301_SBF_KS_A15_12_10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	120301_SBF_KS_A15_12_10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_5_8_9	Mus musculus	whole cell lysate	embryonic stem cells	18	PXD008914_111229_KS_A8_5_8_9_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_5_8_9.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_7_8_12	Mus musculus	whole cell lysate	embryonic stem cells	19	PXD008914_111229_KS_A8_7_8_12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_7_8_12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_5_8_11	Mus musculus	whole cell lysate	embryonic stem cells	20	PXD008914_111229_KS_A8_5_8_11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_5_8_11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_7_8_3	Mus musculus	whole cell lysate	embryonic stem cells	21	PXD008914_111229_KS_A8_7_8_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_7_8_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111201_KS_A8_5_5_1	Mus musculus	whole cell lysate	embryonic stem cells	22	PXD008914_111201_KS_A8_5_5_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111201_KS_A8_5_5_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_5_8_10	Mus musculus	whole cell lysate	embryonic stem cells	23	PXD008914_111229_KS_A8_5_8_10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_5_8_10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_7_8_11_120102230312	Mus musculus	whole cell lysate	embryonic stem cells	24	PXD008914_111229_KS_A8_7_8_11_120102230312_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_7_8_11_120102230312.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_5_8_1	Mus musculus	whole cell lysate	embryonic stem cells	25	PXD008914_111229_KS_A8_5_8_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_5_8_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_120301_SBF_KS_A15_01_10	Mus musculus	whole cell lysate	embryonic stem cells	26	PXD008914_120301_SBF_KS_A15_01_10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	120301_SBF_KS_A15_01_10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_120301_SBF_KS_A15_04_10	Mus musculus	whole cell lysate	embryonic stem cells	27	PXD008914_120301_SBF_KS_A15_04_10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	120301_SBF_KS_A15_04_10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_5_8_2	Mus musculus	whole cell lysate	embryonic stem cells	28	PXD008914_111229_KS_A8_5_8_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_5_8_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_7_8_8	Mus musculus	whole cell lysate	embryonic stem cells	29	PXD008914_111229_KS_A8_7_8_8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_7_8_8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111201_KS_A8_7_5_1	Mus musculus	whole cell lysate	embryonic stem cells	30	PXD008914_111201_KS_A8_7_5_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111201_KS_A8_7_5_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_120209_SBF_KS_A15_08_30	Mus musculus	whole cell lysate	embryonic stem cells	31	PXD008914_120209_SBF_KS_A15_08_30_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	120209_SBF_KS_A15_08_30.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_5_8_8	Mus musculus	whole cell lysate	embryonic stem cells	32	PXD008914_111229_KS_A8_5_8_8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_5_8_8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_7_8_4	Mus musculus	whole cell lysate	embryonic stem cells	33	PXD008914_111229_KS_A8_7_8_4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_7_8_4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
