accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC,spectral_file_types
PXD015500,32143687.0,PMC7060547,29,Shigella flexneri; Eukaryota (eucaryotes); Salmonella bongori; Bacteria; Archaea; Viruses,623; 2759; 54736; 2; 2157; 10239,Shotgun proteomics,CC BY,False,False,MGF;RAW
PXD015192,32010107.0,PMC6978704,0,Halobacterium salinarum,2242,SWATH MS,CC BY,False,False,SCAN;WIFF
PXD015146,32340398.0,PMC7221809,16,Gallus gallus (chicken),9031,Shotgun proteomics,CC BY,False,False,RAR;RAW
PXD015801,31685918.0,PMC6828748,12,Platyhelminthes; Brassica oleracea var. botrytis (cauliflower); Echinococcus granulosus,6157; 3715; 6210,Shotgun proteomics,CC BY,False,False,RAW
PXD015538,32291305.0,PMC7157823,12,Streptomyces coelicolor a3(2),100226,Shotgun proteomics,CC BY,False,False,RAW
PXD017788,32425810.0,PMC7204509,6,Mus musculus (mouse),10090,Gel-based experiment,CC BY,False,False,GZ;MGF;MZML;RAW
PXD016578,32154243.0,PMC7047205,9,Mus musculus (mouse),10090,mass spectrometry imaging,CC BY,False,False,RAW
PXD017434,32426479.0,PMC7195186,6,Mus musculus (mouse),10090,Shotgun proteomics,CC BY-NC,False,False,RAW
PXD016396,31801253.0,PMC6953079,30,Sus scrofa domesticus (domestic pig),9825,Shotgun proteomics,CC BY,False,False,RAW
PXD017058,31964978.0,PMC6972737,9,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False,RAW
PXD016258,31905787.0,PMC6981528,0,Triticum aestivum (wheat),4565,Gel-based experiment,CC BY,False,False,MZXML
PXD016479,32093058.0,PMC7072386,70,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,RAW
PXD017780,32178365.0,PMC7150786,0,Plum pox virus,12211,Shotgun proteomics,CC BY,False,False,GZ;MGF;RAR
PXD017540,32365127.0,PMC7197811,20,Rattus norvegicus (rat),10116,Shotgun proteomics,CC BY,False,False,RAW
PXD016602,31919190.0,PMC7000912,20,Schizosaccharomyces pombe,4896,Shotgun proteomics,CC BY,False,False,RAW
PXD017078,32242015.0,PMC7118135,10,Escherichia coli; Bacteria; Staphylococcus aureus,562; 2; 1280,Shotgun proteomics,CC BY,False,False,RAW
PXD017524,32268273.0,PMC7191261,1,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY-NC-ND,False,False,MGF;RAW
PXD016871,32123389.0,PMC7096898,6,Mus musculus (mouse),10090,Gel-based experiment,NO-CC CODE,False,False,GZ;MGF;RAW
PXD017522,32372958.0,PMC7179074,9,Enterococcus faecium,1352,Shotgun proteomics,CC BY,False,False,RAW
PXD010851,32012756.0,PMC7076522,20,Rattus norvegicus (rat),10116,Shotgun proteomics,CC BY,False,False,GZ;MGF;RAW
PXD016801,32123712.0,PMC7038588,8,Escherichia coli,562,Shotgun proteomics,CC BY,False,False,RAW
PXD016833,32049018.0,PMC7016506,20,Plasmodium berghei anka,5823,Shotgun proteomics,CC BY,False,False,GZ;MGF;RAW
PXD017729,32432549.0,PMC7239659,41,Drosophila melanogaster (fruit fly),7227,Gel-based experiment,CC BY,False,False,RAW
PXD016576,32400114.0,PMC7218406,55,Homo sapiens (human); Mus musculus (mouse),9606; 10090,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD017197,32046032.0,PMC7037369,0,Oryza sativa (rice),4530,Shotgun proteomics,CC BY,False,False,GZ
PXD017661,32143690.0,PMC7060566,62,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False,MZML;RAW
PXD017134,32064518.0,PMC7144942,21,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics,CC BY,False,False,RAW
PXD016515,31924799.0,PMC6954243,45,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False,RAW
PXD016315,32192231.0,PMC7139743,6,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,False,False,RAW;ZIP
PXD017648,32183026.0,PMC7139842,6,Capsicum annuum,4072,Shotgun proteomics,CC BY,False,False,RAW
PXD017193,32429667.0,,34,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD017582,32209682.0,PMC7157518,45,Escherichia coli,562,Shotgun proteomics,CC BY,False,False,RAW
PXD016880,31964889.0,PMC6972770,20,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,MGF;RAW
