source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S8	Mus musculus	not available	not available	not available	11	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S12_Empty	NT=Mus musculus;AC=NCBITaxon:10090	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	12	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S12_Empty_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S12_Empty.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S3	Mus musculus	not available	not available	not available	13	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S8	Mus musculus	not available	not available	not available	14	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S10	Mus musculus	not available	not available	not available	15	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S4	Mus musculus	not available	not available	not available	16	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S4	Mus musculus	not available	not available	not available	17	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S5	Mus musculus	not available	not available	not available	18	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S1	Mus musculus	not available	not available	not available	19	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S3	Mus musculus	not available	not available	not available	20	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
