source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S6	Mus musculus	not available	not available	not available	41	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S9	Mus musculus	not available	not available	not available	42	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S9_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S9.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S12	Mus musculus	not available	not available	not available	43	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S7	Mus musculus	not available	not available	not available	44	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S2	Mus musculus	not available	not available	not available	45	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S11	Mus musculus	not available	not available	not available	46	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S7	Mus musculus	not available	not available	not available	47	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S11	Mus musculus	not available	not available	not available	48	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S10	Mus musculus	not available	not available	not available	49	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S4	Mus musculus	not available	not available	not available	50	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S9	Mus musculus	not available	not available	not available	51	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S9_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S9.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S9	Mus musculus	not available	not available	not available	52	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S9_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S9.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S12	Mus musculus	not available	not available	not available	53	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S6	Mus musculus	not available	not available	not available	54	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S5	Mus musculus	not available	not available	not available	55	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S8	Mus musculus	not available	not available	not available	56	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S11	Mus musculus	not available	not available	not available	57	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S4	Mus musculus	not available	not available	not available	58	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S6	Mus musculus	not available	not available	not available	59	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S7	Mus musculus	not available	not available	not available	60	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S1	Mus musculus	not available	not available	not available	61	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S9	Mus musculus	not available	not available	not available	62	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S9_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S9.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S8	Mus musculus	not available	not available	not available	63	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S7	Mus musculus	not available	not available	not available	64	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S12_empty	NT=Mus musculus;AC=NCBITaxon:10090	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	65	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S12_empty_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S12_empty.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S3	Mus musculus	not available	not available	not available	66	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S5	Mus musculus	not available	not available	not available	67	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S2	Mus musculus	not available	not available	not available	68	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S1	Mus musculus	not available	not available	not available	69	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S3	Mus musculus	not available	not available	not available	70	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S1	Mus musculus	not available	not available	not available	71	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S11	Mus musculus	not available	not available	not available	72	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S11	Mus musculus	not available	not available	not available	73	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S2	Mus musculus	not available	not available	not available	74	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S8	Mus musculus	not available	not available	not available	75	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
