pxd	has_sdrf	raw_count	proteome_context	material_type_match	has_crosslinker	model_organism	scale_ok	taxids	passes
PXD010070	True	32	False	False	True	True	True	9606	False
PXD010094	True	6	False	False	True	False	False	1087482	False
PXD010111	True	32	True	False	True	True	True	9606;10090	True
PXD010122	True	13	False	False	True	True	True	9606	False
PXD010124	True	16	False	False	True	True	True	9606	False
PXD010222	True	150	False	False	True	True	True	9606	False
PXD010317	True	114	True	False	True	True	True	10090;10116	True
PXD010352	True	21	True	False	False	True	True	10090;10116	False
PXD010384	True	6	False	False	True	True	False	10116;221915	False
PXD010385	True	6	False	False	True	True	False	9606;10116	False
PXD010410	True	6	False	False	True	True	False	1351;10116	False
PXD010422	True	33	False	False	True	False	True	9986	False
PXD010468	True	6	True	False	False	True	False	9606;10116	False
PXD010470	True	2	False	False	True	False	False	90371	False
PXD010474	True	3	True	False	False	True	False	9606	False
PXD010479	True	6	False	False	True	False	False	209285	False
PXD010481	True	4	False	False	True	True	False	4932	False
PXD010483	True	6	True	False	True	False	False	441768	False
PXD010796	True	120	False	False	True	True	True	9606;10116	False
PXD010884	True	30	False	False	True	True	True	562;1351;9606;10116;507522	False
PXD010892	True	29	True	False	True	True	True	3702;4932	True
PXD010921	True	45	False	False	False	True	True	9606	False
PXD010930	True	4	False	False	False	True	False	9606;10090	False
PXD010931	True	4	True	False	False	True	False	9606	False
PXD010950	True	18	False	False	False	True	True	9606	False
PXD010963	True	2	True	False	True	True	False	9606	False
PXD010988	True	6	True	False	False	False	False	562	False
PXD011036	True	124	True	False	True	True	True	562;9031;9606;9796;9913;9986;10116	True
PXD011071	True	116	True	False	False	True	True	562;4932	False
PXD011077	True	10	True	False	True	True	False	9606;9913	False
PXD011078	True	24	False	False	False	True	True	9606	False
PXD011121	True	35	True	False	True	True	True	9606;759272	True
PXD011296	True	10	False	False	True	True	False	562;4932;9606;9913	False
PXD011312	True	20	True	False	False	True	True	10116	False
PXD011459	True	48	True	False	True	True	True	4896;9606;10116	True
PXD011645	True	5	False	False	True	True	False	9606	False
PXD011680	True	57	False	False	True	True	True	9606	False
PXD011702	True	18	True	False	False	True	True	9606	False
PXD011704	True	0	False	False	False	False	False	9913	False
PXD011774	True	85	False	False	True	True	True	4932	False
PXD011775	True	13	False	False	True	True	True	4932	False
PXD011806	True	75	True	False	True	True	True	10090;10116	True
PXD011861	True	72	False	False	True	True	True	562;3827;5476;9606;9796;9913;9986;10116;404330	False
