pxd	pid	log_file	status_file	command
PXD002987	3122169	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002987.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002987.exit	python src/main.py --pxd PXD002987 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002992	3122760	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002992.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002992.exit	python src/main.py --pxd PXD002992 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003381	3122829	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003381.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003381.exit	python src/main.py --pxd PXD003381 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003486	3122839	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003486.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003486.exit	python src/main.py --pxd PXD003486 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003496	3122896	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003496.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003496.exit	python src/main.py --pxd PXD003496 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003502	3123007	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003502.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003502.exit	python src/main.py --pxd PXD003502 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003593	3123037	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003593.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003593.exit	python src/main.py --pxd PXD003593 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003643	3123124	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003643.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003643.exit	python src/main.py --pxd PXD003643 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003658	3123270	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003658.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003658.exit	python src/main.py --pxd PXD003658 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003737	3123371	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003737.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003737.exit	python src/main.py --pxd PXD003737 --config configs/config.yaml --no-download --nproc 1 --verbose
